OID,SYSTEM,MONTHDAY_INSTALL,YEAR_INSTALLED,LIFECYCLESTATUS,OWNER,SUBTYPE,HYDRAULICID,FACILITYID,VEGETATION,SHAPE_AREA,SHAPE_LEN
-1,GSWI,2_3,2015,ACT,PWD,1,,{BD7D0F67-215F-44BA-A257-7CBDC5150C13},,628.079844168521960,123.315397535303010
-1,GSWI,2_3,2015,ACT,PWD,1,,{F5917C6D-F4F8-40DA-B0BD-57F71C673D62},,2066.369972812180100,225.691440823480010
-1,GSWI,4_8,2013,ACT,PRIVMAND,1,,{4F75FCD1-36D5-401F-A641-D27089C0850F},,2082.726963922720200,222.059808650638020
-1,GSWI,4_8,2013,ACT,PRIVMAND,1,,{3D97156C-ECB9-4710-A173-635514BE6FD8},,1810.188139359100000,218.229994439640020
-1,GSWI,9_27,2013,ACT,PRIVMAND,1,,{519F6BA1-7BC3-4813-B326-6C2F61DE8A98},,6380.007746801380600,327.748557966710050
-1,GSWI,9_17,2013,ACT,PWD,2,,{280280AD-186E-4876-8183-D6D63A05DF22},,162.021632699295000,61.771322569804006
-1,GSWI,9_17,2013,ACT,PWD,2,,{66B19FB6-FF90-4D5F-9E1F-1A9FD0985315},,137.429295546991000,63.115597213565493
-1,GSWI,5_14,2011,ACT,PWD,2,,{4CA6090E-56CA-4F10-92D1-CCA8257DABE1},,437.405431663314060,128.695086769918990
-1,GSWI,5_14,2011,ACT,PWD,2,,{7EE5CB57-D325-4749-9F7E-17406F310F72},,275.586081216522980,92.937935836257196
-1,GSWI,12_13,2012,ACT,PWD,2,,{8ED212E8-5252-477C-8F3E-888B8F66CDFC},,78.218693527951601,38.625713470404499
-1,GSWI,5_14,2011,ACT,PWD,2,,{504C90D7-4543-4893-AFCA-F6F86FFB624F},,460.153916919571030,151.432815089482010
-1,GSWI,5_14,2011,ACT,PWD,2,,{8A485E1E-0522-454E-B012-5CF616F97EBE},,255.716064890756000,84.888193757825405
-1,GSWI,11_1,2010,ACT,PWD,2,,{5C6904CC-7CA7-4AC4-912B-198B9A762D9D},,240.541107872675010,118.790635468776020
-1,GSWI,5_14,2011,ACT,PWD,2,,{A37182BC-FEBF-4341-B030-2A67738E05A5},,483.300491918568010,132.941146134810990
-1,GSWI,4_25,2014,ACT,PWD,2,,{261350C0-8DDC-4A72-87D2-05F4E1617EB4},,348.069315342458030,94.467334704489090
-1,GSWI,5_14,2011,ACT,PWD,2,,{0E457587-9AD1-4C14-9136-D283077E70DD},,489.802746946405020,131.883869930888010
-1,GSWI,3_5,2013,ACT,PWD,2,,{8BB2857D-E2DF-41B4-864D-B8300720F51A},,3784.258861191450300,357.548147482558020
-1,GSWI,3_5,2013,ACT,PWD,2,,{F2816AE5-22D9-4A43-8957-A53DD6F5F38D},,3770.636626841150200,344.265668539242030
-1,GSWI,4_23,2013,ACT,PWD,2,,{BB5287B9-7795-47F5-8390-B8AA99D4474D},,349.586117595938050,146.518728008154990
-1,GSWI,12_13,2012,ACT,PWD,2,,{3BE8220C-5C39-4EBA-8F11-93869AA41FC9},,570.725575557162980,165.411603512778020
