-75.23299711,39.96497034,6468,56th St 57th St Race St and Vine St (Daroff School),Stormwater Tree Trench,-75.232995,39.964962
-75.23236416,39.94039818,6469,57th St and Pentridge St (Longstreth School),Stormwater Planter,-75.232362,39.94039
-75.22500157,39.93350116,6470,58th St Connector(Bartrams Garden Francis Myers Rec Cobbs Creek Park),Stormwater Tree Trench,-75.225,39.933493
-75.23868118,39.95737934,6471,58th St 59th St and Walnut St (Sayre High School),Stormwater Tree Trench,-75.238679,39.957371
-75.2436531,39.95295404,6473,60th St 61st St Cedar Ave and Hazel Ave (Bryant Elementary School),Stormwater Tree Trench,-75.243651,39.952946
-75.24535808,39.98293341,6474,62nd St and Lebanon (Overbrook Elementary),Stormwater Tree Trench,-75.245356,39.982925
-75.23758233,39.91375188,6476,72nd Buist 71st Dicks (Elmwood Park),Stormwater Tree Trench,-75.237581,39.913744
-75.242412,39.91527467,6477,73rd and Grays,Stormwater Tree Trench,-75.24241,39.915267
-75.14524861,39.98907711,6478,7th St 8th St and Cumberland St (Hartranft School),Stormwater Tree Trench,-75.145247,39.989069
-75.15024437,39.96923703,6480,8th St,Stormwater Tree Trench,-75.150243,39.969229
-75.15191941,39.9662705,6483,9th St,Stormwater Tree Trench,-75.151918,39.966262
-75.15040882,39.98312749,6486,Alder St from Norris St to Diamond St,Stormwater Tree Trench,-75.150407,39.983119
-75.24392949,39.94458956,6497,Baltimore Ave Island from S 60th St to Wharton St,Stormwater Tree Trench,-75.243928,39.944581
-75.17221407,40.04916916,6498,Belfield Ave from Chew Ave to Walnut Ln,Stormwater Tree Trench,-75.172212,40.049161
-75.1332368,39.97302897,6499,Belgrade St and Marlborough St,Infiltration/Storage Trench,-75.133235,39.973021
-75.1351329,39.97843577,6503,Berks Mascher (Towey Recreation Center),Stormwater Tree Trench,-75.135131,39.978428
-75.24601307,39.91796367,6505,Blue Bell Inn Triangle Park,Rain Garden,-75.246011,39.917956
-75.06730563,39.99935763,6508,Bridesburg Recreation Center/Bridesburg School,Infiltration/Storage Trench,-75.067304,39.99935
-75.22642045,39.92209289,6512,Buist 63rd Chelwynde 64th (Mother Mary of Peace School),Stormwater Tree Trench,-75.226419,39.922085
-75.16514804,39.95310279,6513,Bus Shelter Green Roof,Green Roof,-75.165146,39.953095
-75.17921517,39.99794034,6526,Chalmers (29th and Chalmers Playground),Stormwater Bumpout,-75.179213,39.997932
-75.23437957,39.94869623,6528,Christian St Webster St 56th St (Christy Recreation Center),Stormwater Tree Trench,-75.234378,39.948688
-75.1764795,39.98730583,6542,Diamond St,Stormwater Tree Trench,-75.176478,39.987298
-75.17465345,39.98706714,6543,Diamond St from 25th St to Stillman St,Stormwater Tree Trench,-75.174652,39.987059
-75.06807533,40.01047377,6547,Eadom Parking Lot,Rain Garden,-75.068074,40.010466
-75.13049969,39.97250101,6548,Earl St (Hetzell Playground),Stormwater Tree Trench,-75.130498,39.972493
-75.2301753,39.92303229,6553,Elmwood 64th Grays 65th (Connell Park),Stormwater Tree Trench,-75.230174,39.923024
-75.24010134,40.05630217,6556,Eva & Summit,Stormwater Basin,-75.2401,40.056294
-75.14677137,39.98190532,6566,Franklin St from Diamond St to Norris St,Stormwater Tree Trench,-75.14677,39.981897
-75.14604354,39.93193875,6567,Front St,Stormwater Tree Trench,-75.146042,39.931931
-75.17524622,39.98786451,6569,Gathers Recreation Center,Stormwater Tree Trench,-75.175244,39.987856
-75.15140057,40.04216128,6582,Harpers Hollow Park,Stormwater Basin,-75.151399,40.042153
-75.23472081,39.96694973,6584,Haverford Ave 57th St and Vine St (Shepard Recreation Center),Stormwater Tree Trench,-75.234719,39.966942
